season,round,raceName,date,time,circuitId,circuit,location,country,long,lat
2022,11,Austrian Grand Prix,7/10/22,13:00:00Z,red_bull_ring,Red Bull Ring,Spielberg,Austria,14.7647,47.2197
2022,12,French Grand Prix,7/24/22,13:00:00Z,ricard,Circuit Paul Ricard,Le Castellet,France,5.79167,43.2506
2022,13,Hungarian Grand Prix,7/31/22,13:00:00Z,hungaroring,Hungaroring,Budapest,Hungary,19.2486,47.5789
2022,14,Belgian Grand Prix,8/28/22,13:00:00Z,spa,Circuit de Spa-Francorchamps,Spa,Belgium,5.97139,50.4372
2022,15,Dutch Grand Prix,9/4/22,13:00:00Z,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,4.54092,52.3888
2022,16,Italian Grand Prix,9/11/22,13:00:00Z,monza,Autodromo Nazionale di Monza,Monza,Italy,9.28111,45.6156
2022,17,Singapore Grand Prix,10/2/22,12:00:00Z,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,103.864,1.2914
2022,18,Japanese Grand Prix,10/9/22,05:00:00Z,suzuka,Suzuka Circuit,Suzuka,Japan,136.541,34.8431
2022,19,United States Grand Prix,10/23/22,19:00:00Z,americas,Circuit of the Americas,Austin,USA,-97.6411,30.1328
2022,20,Mexico City Grand Prix,10/30/22,20:00:00Z,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,-99.0907,19.4042
2022,21,São Paulo Grand Prix,11/13/22,18:00:00Z,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-46.6997,-23.7036
2022,22,Abu Dhabi Grand Prix,11/20/22,13:00:00Z,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,54.6031,24.4672
2023,1,Bahrain Grand Prix,3/5/23,15:00:00Z,bahrain,Bahrain International Circuit,Sakhir,Bahrain,50.5106,26.0325
2023,2,Saudi Arabian Grand Prix,3/19/23,17:00:00Z,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,39.1044,21.6319
2023,3,Australian Grand Prix,4/2/23,05:00:00Z,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,144.968,-37.8497
2023,4,Azerbaijan Grand Prix,4/30/23,11:00:00Z,baku,Baku City Circuit,Baku,Azerbaijan,49.8533,40.3725
2023,5,Miami Grand Prix,5/7/23,19:30:00Z,miami,Miami International Autodrome,Miami,USA,-80.2389,25.9581
2023,6,Monaco Grand Prix,5/28/23,13:00:00Z,monaco,Circuit de Monaco,Monte-Carlo,Monaco,7.42056,43.7347
2023,7,Spanish Grand Prix,6/4/23,13:00:00Z,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,2.26111,41.57
2023,8,Canadian Grand Prix,6/18/23,18:00:00Z,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,-73.5228,45.5
2023,9,Austrian Grand Prix,7/2/23,13:00:00Z,red_bull_ring,Red Bull Ring,Spielberg,Austria,14.7647,47.2197
2023,10,British Grand Prix,7/9/23,14:00:00Z,silverstone,Silverstone Circuit,Silverstone,UK,-1.01694,52.0786
2023,11,Hungarian Grand Prix,7/23/23,13:00:00Z,hungaroring,Hungaroring,Budapest,Hungary,19.2486,47.5789
2023,12,Belgian Grand Prix,7/30/23,13:00:00Z,spa,Circuit de Spa-Francorchamps,Spa,Belgium,5.97139,50.4372
2023,13,Dutch Grand Prix,8/27/23,13:00:00Z,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,4.54092,52.3888
2023,14,Italian Grand Prix,9/3/23,13:00:00Z,monza,Autodromo Nazionale di Monza,Monza,Italy,9.28111,45.6156
2023,15,Singapore Grand Prix,9/17/23,12:00:00Z,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,103.864,1.2914
2023,16,Japanese Grand Prix,9/24/23,05:00:00Z,suzuka,Suzuka Circuit,Suzuka,Japan,136.541,34.8431
2023,17,Qatar Grand Prix,10/8/23,17:00:00Z,losail,Losail International Circuit,Al Daayen,Qatar,51.4542,25.49
2023,18,United States Grand Prix,10/22/23,19:00:00Z,americas,Circuit of the Americas,Austin,USA,-97.6411,30.1328
2023,19,Mexico City Grand Prix,10/29/23,20:00:00Z,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,-99.0907,19.4042
2023,20,São Paulo Grand Prix,11/5/23,17:00:00Z,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-46.6997,-23.7036
2023,21,Las Vegas Grand Prix,11/19/23,06:00:00Z,vegas,Las Vegas Strip Street Circuit,Las Vegas,United States,-115.173,36.1147
2023,22,Abu Dhabi Grand Prix,11/26/23,13:00:00Z,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,54.6031,24.4672
